date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Sleep Tranquility Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2/1/20,89,86,93,98,99,80,81,100,28740,27090,1650,6120,13560,7410,31,94,450,14250,,2020-01-31T22:04:28-08:00,2020-02-01T06:03:28-08:00,51.43,48,24,-0.24,15.875,91,81,95,78,100,98,100,436,2759,650,8062,7139,503,490,336,28,2,81,1.4375,1,83,84,100,32,56,95,100,,82
2/2/20,91,93,95,97,95,68,91,100,32100,28740,3360,6390,15600,6750,35,90,1050,16080,,2020-02-01T22:31:08-08:00,2020-02-02T07:26:08-08:00,48.22,44,44,-0.23,15.5,93,92,100,78,100,97,100,657,2987,650,10631,11471,420,569,387,46,2,16,1.5625,0,94,87,0,87,0,95,100,,100
2/3/20,73,61,60,97,69,64,97,100,26880,21180,5700,3990,11190,6000,35,79,960,12780,,2020-02-02T21:43:46-08:00,2020-02-03T05:11:46-08:00,48.4,44,33,-0.31,15.125,90,73,100,78,100,98,100,729,3056,500,7341,12450,570,466,328,76,0,0,1.59375,0,78,57,71,87,75,91,95,,92
2/4/20,89,85,95,90,96,82,86,100,29580,26940,2640,6390,16170,4380,34,91,1170,15270,,2020-02-03T20:59:43-08:00,2020-02-04T05:12:43-08:00,51.44,44,27,0.02,15.875,94,100,100,78,100,97,100,439,2707,500,8187,7722,298,517,331,21,0,273,1.40625,0,79,91,92,84,83,100,92,,1
2/5/20,83,95,94,35,93,70,75,100,32940,29310,3630,6150,21420,1740,35,89,330,16140,,2020-02-04T21:06:48-08:00,2020-02-05T06:15:48-08:00,55.93,48,23,0.13,16.375,89,100,100,60,96,96,100,151,2296,500,2400,2479,153,513,88,10,2,674,1.1875,0,83,81,95,97,88,87,75,,48
2/6/20,85,79,77,95,100,76,86,100,26760,25440,1320,5100,15600,4740,40,95,600,13380,,2020-02-05T21:35:14-08:00,2020-02-06T05:01:14-08:00,53.31,46,26,0.03,15.75,80,100,100,43,71,84,100,111,2261,500,2269,1996,81,443,86,4,0,826,1.1875,0,83,85,91,0,93,100,82,,54
2/7/20,91,96,95,85,100,77,78,100,31080,29730,1350,6360,19260,4110,35,96,420,15420,,2020-02-06T21:33:23-08:00,2020-02-07T06:11:23-08:00,53.07,48,26,0.07,16,77,100,100,43,71,61,100,53,2169,500,1058,918,50,510,48,1,0,831,1.125,0,82,96,95,0,94,98,89,,5
2/8/20,87,90,97,89,96,65,72,100,30720,28020,2700,7140,16560,4320,39,91,270,14670,,2020-02-07T22:18:55-08:00,2020-02-08T06:50:55-08:00,52.44,47,26,-0.05,15.625,74,100,100,43,71,40,100,7,2108,600,157,25,72,546,9,0,0,813,1.09375,0,88,87,94,0,95,100,89,,65
2/9/20,93,100,97,97,100,65,83,100,34380,32490,1890,7050,19350,6090,37,95,510,17250,,2020-02-08T21:38:00-08:00,2020-02-09T07:11:00-08:00,49.35,45,37,0.07,15.25,64,100,100,25,40,26,100,66,2177,700,1358,1052,70,572,76,1,0,721,1.125,0,99,99,99,0,96,98,100,,100
2/10/20,81,81,70,72,93,67,89,100,29160,25830,3330,4620,17760,3450,40,89,1140,14790,,2020-02-09T21:15:06-08:00,2020-02-10T05:21:06-08:00,52.91,47,23,0.24,16.5,54,100,100,1,1,26,100,165,2312,500,2589,2741,126,465,83,10,4,752,1.21875,0,80,73,95,0,98,82,88,,21
2/11/20,75,70,67,68,81,65,86,100,27720,23220,4500,4410,15540,3270,39,84,1170,13860,,2020-02-10T21:21:07-08:00,2020-02-11T05:03:07-08:00,49.33,45,31,0.05,15.375,54,100,100,1,1,25,100,141,2140,600,2761,2713,61,1284,88,7,0,0,1.03125,0,85,62,91,0,98,100,100,,71
2/12/20,69,49,93,85,30,72,99,100,29520,18180,11340,6120,7980,4080,20,62,900,17250,,2020-02-11T21:30:15-08:00,2020-02-12T05:42:15-08:00,51.54,46,29,0.1,13.625,51,85,78,1,1,35,100,536,2818,600,10213,9872,479,528,413,18,2,0,1.46875,2,79,53,83,100,100,95,58,,100
2/13/20,84,80,77,97,98,73,75,100,27420,25470,1950,5070,14280,6120,34,93,330,13560,,2020-02-12T21:31:05-08:00,2020-02-13T05:08:05-08:00,49.93,46,37,-0.15,15.125,72,81,100,25,40,96,100,998,3366,600,10299,16619,507,425,355,96,1,56,1.78125,0,86,83,83,83,90,99,98,,77
2/14/20,79,73,50,94,95,66,99,100,26700,23940,2760,3330,16110,4500,35,90,900,13440,,2020-02-13T21:45:38-08:00,2020-02-14T05:10:38-08:00,56,50,21,0.05,16.25,81,94,95,43,71,97,100,853,3251,300,15506,15564,407,471,495,39,7,21,1.6875,1,66,72,81,75,79,100,62,,1
2/15/20,81,100,97,44,83,63,43,100,37980,32310,5670,7140,23040,2130,45,85,2160,20820,,2020-02-14T20:51:12-08:00,2020-02-15T07:24:12-08:00,59.53,48,23,0.11,16.625,86,95,100,60,71,97,100,497,2761,350,9124,8915,383,705,322,29,1,0,1.4375,0,71,76,89,78,75,94,65,,14
2/16/20,83,100,91,29,93,63,70,100,36600,32670,3930,6000,25230,1440,41,89,240,19140,,2020-02-15T21:00:05-08:00,2020-02-16T07:10:05-08:00,54.91,47,33,0.24,16.375,85,87,100,60,71,96,100,453,2733,500,8660,8046,453,619,345,22,1,0,1.40625,0,77,81,94,90,64,85,86,,14
2/17/20,92,100,97,96,97,72,70,100,36180,33240,2940,7140,20850,5250,44,92,1530,18240,,2020-02-16T21:16:23-08:00,2020-02-17T07:19:23-08:00,53.54,48,33,0.26,16.125,90,94,100,78,71,96,100,592,2888,500,10615,10730,411,574,324,33,5,93,1.5,0,84,100,100,88,64,83,69,,55
2/18/20,81,78,54,96,93,68,94,100,28140,25140,3000,3600,16230,5310,37,89,1020,14250,,2020-02-17T21:24:36-08:00,2020-02-18T05:13:36-08:00,53.49,46,26,0.06,16.5,90,100,100,78,71,89,100,72,2225,500,1425,1163,186,441,68,3,0,742,1.15625,0,79,76,99,84,63,100,96,,18
2/19/20,86,89,72,96,95,68,83,100,30780,27720,3060,4740,17640,5340,36,90,540,15000,,2020-02-18T21:46:37-08:00,2020-02-19T06:19:37-08:00,49.06,45,32,-0.14,15.5,86,100,100,78,71,62,100,60,2169,650,1109,1067,68,551,59,0,0,762,1.125,0,90,87,100,0,71,100,88,,92
2/20/20,83,81,60,95,88,77,86,100,29700,25860,3840,3960,17190,4710,37,87,1170,14580,,2020-02-19T20:56:58-08:00,2020-02-20T05:11:58-08:00,54.88,47,24,0.01,16.25,76,100,100,60,40,43,100,124,2295,500,2136,1957,148,446,121,5,0,720,1.21875,0,76,80,97,0,77,100,52,,53
2/21/20,84,75,71,97,98,81,89,100,26160,24270,1890,4680,13590,6000,35,93,1140,13410,,2020-02-20T21:46:52-08:00,2020-02-21T05:02:52-08:00,53.94,50,24,-0.22,16.125,65,100,100,43,1,32,100,109,2260,500,2125,1845,162,459,97,3,0,719,1.1875,0,78,83,93,0,83,97,53,,64
2/22/20,91,100,100,95,96,51,89,100,39840,36060,3780,9120,21960,4980,45,91,1140,20250,,2020-02-21T21:02:40-08:00,2020-02-22T08:06:40-08:00,48.92,45,36,-0.13,15.125,61,100,100,25,1,31,100,240,2390,700,4268,4340,159,615,170,14,1,481,1.25,0,98,99,100,0,88,100,99,,100
2/23/20,86,90,95,95,96,56,70,100,30720,27870,2850,6210,16980,4680,43,91,1530,15840,,2020-02-22T21:39:54-08:00,2020-02-23T06:11:54-08:00,50.63,48,34,-0.04,15.5,61,100,100,25,1,32,100,204,2382,650,3871,3460,154,510,157,12,0,607,1.25,0,91,87,100,95,92,100,72,,100
2/24/20,81,80,50,96,90,76,75,100,28980,25560,3420,3330,16890,5340,34,88,1440,14580,,2020-02-23T21:12:37-08:00,2020-02-24T05:15:37-08:00,51.6,48,27,-0.07,16,54,100,100,1,1,27,100,120,2268,600,2344,2139,146,458,102,2,0,732,1.1875,0,88,75,99,94,95,100,81,,74
2/25/20,90,95,97,97,86,70,86,100,33780,29010,4770,7410,15420,6180,36,86,600,16950,,2020-02-24T21:10:52-08:00,2020-02-25T06:33:52-08:00,50.85,45,33,0.18,15.25,53,100,95,1,1,22,100,79,2224,650,1653,1415,210,472,75,0,0,683,1.15625,1,91,96,100,0,98,89,99,,42
2/26/20,81,80,82,59,100,73,83,100,27000,25530,1470,5370,17280,2880,36,95,510,13470,,2020-02-25T22:38:00-08:00,2020-02-26T06:08:00-08:00,53.03,48,25,0.01,15.875,52,100,100,1,1,16,100,49,2158,500,1010,866,80,486,46,0,0,828,1.125,0,80,75,97,0,100,100,72,,38
2/27/20,82,73,88,98,97,71,72,100,25980,23910,2070,5760,10830,7320,31,92,270,12810,,2020-02-26T21:50:09-08:00,2020-02-27T05:03:09-08:00,49.45,45,37,-0.14,15.25,54,100,100,1,1,25,100,228,2404,600,3862,4189,170,422,121,12,3,712,1.28125,0,89,77,91,0,97,100,90,86,97
2/28/20,80,70,77,95,97,70,78,100,25260,23130,2130,5100,13110,4920,35,92,420,12450,,2020-02-27T22:03:32-08:00,2020-02-28T05:04:32-08:00,52.43,47,28,-0.36,16.125,55,100,100,1,1,31,100,189,2377,500,3171,3083,183,376,121,13,2,745,1.25,0,82,73,86,0,96,93,81,86,67
2/29/20,86,83,84,97,79,82,83,100,31380,26130,5250,5490,14280,6360,34,83,540,14700,,2020-02-28T22:45:15-08:00,2020-02-29T07:28:15-08:00,51.78,45,32,-0.3,15.75,55,100,100,1,1,31,100,101,2219,600,1943,1679,138,596,80,6,1,619,1.15625,0,88,87,85,0,95,95,99,86,73
3/1/20,92,91,97,96,98,74,99,100,30180,28170,2010,7500,15360,5310,34,93,870,15060,,2020-02-29T21:48:53-08:00,2020-03-01T06:11:53-08:00,49.83,46,33,-0.06,15.25,54,100,100,1,1,30,100,125,2264,650,2650,2119,123,550,117,4,0,646,1.1875,0,92,100,86,0,94,100,99,87,86
3/2/20,85,81,95,81,99,75,83,100,27300,25710,1590,6300,15510,3900,34,94,540,13710,,2020-03-01T21:21:39-08:00,2020-03-02T04:56:39-08:00,52.88,48,24,-0.11,16.5,56,100,100,1,1,40,100,281,2447,500,4957,5079,94,467,139,23,2,715,1.28125,0,78,84,85,0,93,100,72,84,40
3/3/20,88,86,87,98,99,81,75,100,28560,26910,1650,5670,13890,7350,33,94,330,14100,,2020-03-02T21:07:41-08:00,2020-03-03T05:03:41-08:00,48,45,38,-0.29,15.375,56,100,100,1,1,42,100,189,2345,650,3472,3357,99,470,122,13,0,736,1.21875,0,91,91,85,0,94,95,99,87,100
3/4/20,91,97,96,99,98,73,72,100,32460,30300,2160,6570,15810,7920,31,93,270,16020,,2020-03-03T21:02:52-08:00,2020-03-04T06:03:52-08:00,51.62,45,27,-0.23,16,55,100,100,1,1,36,100,40,2148,600,683,685,87,503,43,1,0,806,1.125,0,87,98,90,0,95,97,90,86,50
3/5/20,83,79,88,95,98,68,70,100,27060,25230,1830,5760,14910,4560,38,93,210,13380,,2020-03-04T21:32:17-08:00,2020-03-05T05:03:17-08:00,47.92,45,34,-0.28,15.375,57,100,100,1,1,47,100,268,2435,650,4151,4580,97,455,133,22,5,728,1.28125,0,90,79,88,0,95,95,100,87,100
3/6/20,77,73,73,78,74,68,89,100,29400,23790,5610,4770,15240,3780,36,81,1140,14730,,2020-03-05T21:09:15-08:00,2020-03-06T05:19:15-08:00,54.56,50,22,0.25,16.25,58,100,100,1,1,53,100,226,2368,500,4585,4289,122,483,94,27,0,714,1.25,0,78,64,84,0,96,84,53,82,100
3/7/20,92,100,99,97,97,67,72,100,37020,33990,3030,8250,19800,5940,36,92,300,18360,,2020-03-06T21:15:36-08:00,2020-03-07T07:32:36-08:00,48.86,44,30,-0.17,15,57,100,100,1,1,49,100,161,2331,600,2884,2732,223,560,137,6,0,514,1.21875,0,89,100,94,0,96,99,100,83,49
3/8/20,86,80,95,97,88,89,72,97,29340,25500,3840,6210,12840,6450,31,87,270,14550,,2020-03-07T23:02:31-07:00,2020-03-08T07:11:31-07:00,47.26,44,35,-0.55,14.875,57,100,100,1,1,48,100,337,2507,650,6224,6382,125,601,200,13,2,499,1.3125,0,93,86,92,94,96,86,100,86,100
3/9/20,89,93,90,96,99,71,72,100,30480,28740,1740,5940,17370,5430,34,94,270,15060,,2020-03-08T21:09:24-07:00,2020-03-09T05:37:24-07:00,48.69,45,31,-0.07,15.5,57,100,100,1,1,44,100,101,2260,650,1505,1689,158,415,50,7,2,808,1.1875,0,92,94,94,93,98,100,96,86,78
3/10/20,70,54,35,87,79,80,89,100,23220,19380,3840,2400,12810,4170,28,83,1110,11370,,2020-03-09T22:39:22-07:00,2020-03-10T05:06:22-07:00,49.57,45,29,-0.07,15.125,57,100,100,1,1,44,100,199,2354,500,3387,3500,131,448,110,12,2,737,1.25,0,80,46,84,0,98,100,96,85,71
3/11/20,94,96,94,95,100,84,94,100,31380,29670,1710,6150,18990,4530,34,95,1020,16050,,2020-03-10T21:21:32-07:00,2020-03-11T06:04:32-07:00,50.75,46,32,0.08,15.75,56,100,100,1,1,41,100,114,2237,600,1814,1945,111,483,74,5,2,765,1.1875,0,87,100,88,0,98,98,96,86,46
